Date,Open,High,Low,Close,Volume
2011-10-30,2517202,2671734,2278363,2311583,145.5178
2011-11-06,2375429,2655126,2347346,2429030,124.6882
2011-11-13,2435422,2612953,2282174,2395886,125.5542
2011-11-20,2414989,2721511,2328185,2708705,114.4419
2011-11-27,2813483,3097005,2804526,3097005,94.5265
2011-12-04,2869605,2870958,2388188,2478878,69.2712
2011-12-11,2367801,2551701,2349865,2417578,71.1472
2011-12-18,2492943,2743228,2420144,2685752,81.1051
2011-12-25,2655126,2780268,2486552,2487812,74.70717
2012-01-01,2496769,2569521,2443097,2514614,33.62544
2012-01-08,2371603,2411234,2246421,2259185,53.8777
2012-01-15,2242619,2303895,2183851,2211926,78.07447
2012-01-22,2153202,2178729,2017829,2035697,66.72178
2012-01-29,2035697,2074039,1932267,1971845,84.7129
2012-02-05,2017829,2043394,1808395,1816035,77.6416
2012-02-12,1833912,1849261,1733011,1775150,63.35419
2012-02-19,1735571,1759859,1660249,1692139,98.4229
2012-02-26,1687072,1717708,1639825,1648741,55.8017
2012-03-04,1679398,1697304,1563186,1578502,85.1941
2012-03-11,1584917,1699842,1555526,1564465,84.9053
2012-03-18,1565739,1583615,1435470,1448219,87.35879
2012-03-25,1441847,1452092,1385670,1418871,98.038
2012-04-01,1390772,1398415,1321827,1378028,79.3251
2012-04-08,1383094,1412489,1316700,1362670,60.7566
2012-04-15,1416319,1475043,1379269,1454600,112.4215
2012-04-22,1430380,1515929,1385670,1483992,123.4856
2012-04-29,1523580,1565739,1360118,1374169,115.8851
2012-05-06,1386952,1532550,1348609,1532550,104.917
2012-05-13,1560625,1620651,1506991,1571173,184.3388
2012-05-20,1608182,1841582,1561255,1833614,372.2373
2012-05-27,1828178,1833912,1649053,1720586,347.8963
2012-06-03,1670452,1856258,1629263,1856258,252.4076
2012-06-10,1838082,1887253,1612665,1634665,293.3931
2012-06-17,1599285,1728547,1596370,1605009,292.1904
2012-06-24,1626735,1635948,1491675,1571798,230.1347
2012-07-01,1609789,1704312,1498048,1498048,261.5475
2012-07-08,1491987,1528702,1423018,1498048,163.6534
2012-07-15,1504420,1662475,1470280,1547521,281.6073
2012-07-22,1557117,1601175,1409293,1476998,256.8332
2012-07-29,1565085,1628634,1419501,1424913,271.6976
2012-08-05,1415675,1491030,1356923,1375448,319.2738
2012-08-12,1355966,1362997,1294029,1296939,229.9425
2012-08-19,1297568,1318631,1214235,1214567,201.6565
2012-08-26,1217059,1252200,1184519,1215826,211.0851
2012-09-02,1197638,1256684,1194385,1221243,192.5166
